url,note
https://basalam.com/,مارکت‌پلیس عمومی — لینک فروشنده‌ها
https://torob.com/,موتور جستجوی قیمت — لینک فروشگاه‌ها
https://emalls.ir/,فهرست فروشگاه‌های اینترنتی
https://www.digikala.com/landings/seller-landing/,لندینگ عمومی فروشندگان
https://ecommerce.aftership.com/countries/ir/stores,دایرکتوری فروشگاه‌های ایران — صفحات متعدد
https://ecommerce.aftership.com/countries/ir/stores/page/2,AfterShip — صفحه ۲ فروشگاه‌های ایران
https://ecommerce.aftership.com/countries/ir/stores/page/3,AfterShip — صفحه ۳ فروشگاه‌های ایران
https://ecommerce.aftership.com/countries/ir/stores/page/4,AfterShip — صفحه ۴ فروشگاه‌های ایران
https://ecommerce.aftership.com/countries/ir/stores/page/5,AfterShip — صفحه ۵ فروشگاه‌های ایران
https://ecommerce.aftership.com/countries/ir/stores/page/6,AfterShip — صفحه ۶ فروشگاه‌های ایران
https://ecommerce.aftership.com/countries/ir/stores/page/7,AfterShip — صفحه ۷ فروشگاه‌های ایران
https://ecommerce.aftership.com/countries/ir/stores/page/8,AfterShip — صفحه ۸ فروشگاه‌های ایران
https://ecommerce.aftership.com/countries/ir/stores/page/9,AfterShip — صفحه ۹ فروشگاه‌های ایران
https://ecommerce.aftership.com/countries/ir/stores/page/10,AfterShip — صفحه ۱۰ فروشگاه‌های ایران
https://shoprank.com/countries/iran,ShopRank — دیتابیس فروشگاه‌های تجارت الکترونیک ایران
# می‌توانید URL صفحات فهرست عمومی دیگر را اضافه کنید
# فقط صفحات عمومی؛ بدون login
