domain,name
digikala.com,دیجی‌کالا
technolife.ir,تکنولایف
khanoumi.com,خانومی
banimode.com,بانی‌مد
modiseh.com,مدیسه
digistyle.com,دیجی‌استایل
okala.com,اُکالا
snapp.shop,اسنپ‌شاپ
basalam.com,باسلام
torob.com,ترب
meghdadit.com,مقداد آی‌تی
timcheh.com,تیمچه
zanbil.ir,زنبیل
taaghche.com,طاقچه
atrafshan.com,عطر افشان
malltina.com,مالتینا
liliome.ir,لیلیوم
lipak.com,لیپک
kalatik.com,کالاتیک
emalls.ir,ایمالز
iranbookshop.com,ایران‌کتاب
snappfood.ir,اسنپ‌فود
flytoday.ir,فلای‌تودی
pindo.ir,پیندو
esam.ir,ایسام
shixon.com,شیکسون
hyperme.ir,هایپرمی
fidibo.com,فیدیبو
navaar.ir,نوار
ketabrah.ir,کتابراه
mobit.ir,موبیت
janebi.com,جانبی
19kala.com,۱۹کالا
lioncomputer.com,لیون کامپیوتر
noornegar.com,نورنگار
damatajhiz.com,دماتجهیز
didnegar.com,دیدنگار
dayanshop.com,دایان شاپ
takhfifan.com,تخفیفان
barjil.com,بارجیل
betadarou.com,بتادارو
elanza.com,الانزا
cuteskin.ir,کیوت اسکین
zhaket.com,ژاکت
igame.ir,آی‌گیم
petzip.ir,پت زیپ
technosun.ir,تکنوسان
jahanrc.com,جهان آرسی
giftcard98.com,گیفت‌کارت 98
ecell.ir,ایسل
shiksho.com,شیکشو
dorsastore.com,درسا
pharmakala.com,فارماکالا
avang.com,آونگ
lenacenter.com,لناسنتر
barghchi.com,برقچی
safir.com,سفیر
# اختیاری — برای bootstrap اولیه
# کشف اصلی از directories.csv + link expansion است
